trial_type	recog_resp	recog_resp_time	confi_resp	confi_resp_time	stim_file	performance
targ	k	18.704432718004682	None	[]	SetC/187a.jpg	incorrect
foil	k	21.986215085002186	k	2.9497885599994333	SetC/192a.jpg	correct
targ	h	3.3473468359952676	l	2.00398806699377	SetD/028a.jpg	correct
foil	j	4.113399351001135	k	2.4121606089975103	SetC/033a.jpg	incorrect
lure	h	2.1781586470024195	l	1.2716546750016278	SetC/052b.jpg	incorrect
targ	h	1.5744255120007438	l	1.6614932720040088	SetD/063a.jpg	correct
foil	k	2.6514826210041065	j	1.704044240002986	SetC/093a.jpg	correct
targ	j	2.2040013519945205	k	2.0948790549955447	SetC/142a.jpg	incorrect
targ	k	3.9790646379988175	j	1.1353404530018452	SetD/137a.jpg	incorrect
lure	h	2.5064123749980354	k	1.5244689339961042	SetD/174b.jpg	incorrect
targ	j	1.7936923449960887	l	1.0370992809985182	SetD/153a.jpg	incorrect
foil	k	1.4724259759968845	h	1.2331232049982646	SetD/007a.jpg	correct
targ	j	3.783115653997811	j	3.9219895109999925	SetD/001a.jpg	incorrect
foil	k	2.3010556860026554	k	1.028209380005137	SetD/025a.jpg	correct
targ	h	1.245350541001244	j	1.3259467509997194	SetC/190a.jpg	correct
lure	j	1.5219827050023014	l	1.1776510300041991	SetD/142b.jpg	correct
targ	k	1.8177798589968006	j	0.7653391779967933	SetD/109a.jpg	incorrect
lure	h	1.2085114380024606	j	1.246173159997852	SetC/028b.jpg	incorrect
lure	h	1.8923725889981142	k	0.9209592180050095	SetD/003b.jpg	incorrect
targ	k	1.838895811997645	l	0.746696891997999	SetD/098a.jpg	incorrect
lure	j	1.3026514099983615	k	1.432148091000272	SetD/027b.jpg	correct
targ	h	1.1880525730011868	j	0.6878939379967051	SetD/011a.jpg	correct
targ	h	1.1358657150049112	j	0.8241482110024663	SetC/019a.jpg	correct
targ	j	1.3742656989998068	l	0.5928967220024788	SetD/147a.jpg	incorrect
lure	j	1.5021336849968066	k	0.6656346140007372	SetD/154b.jpg	correct
lure	j	1.2088947509982972	l	0.45249330500519136	SetC/168b.jpg	correct
lure	j	1.3597823060044902	k	1.3818012589981663	SetC/089b.jpg	correct
foil	k	2.127706829996896	k	0.8911873649994959	SetD/187a.jpg	correct
foil	j	2.3324684850013	k	0.7461447140012751	SetD/155a.jpg	incorrect
lure	j	1.6452206520043546	l	1.2719555360017694	SetD/126b.jpg	correct
targ	h	1.457530849998875	l	0.9685235829965677	SetC/039a.jpg	correct
lure	h	2.861397421998845	k	0.8246043050021399	SetD/010b.jpg	incorrect
foil	k	1.185082248004619	l	0.5409868799979449	SetD/046a.jpg	correct
foil	k	3.6707983710002736	l	0.5426730910039623	SetD/150a.jpg	correct
lure	k	2.255021721997764	l	0.4439959109949996	SetD/105b.jpg	incorrect
lure	j	1.2826047459966503	k	0.7808105639996938	SetD/101b.jpg	correct
lure	j	3.3460748590005096	l	1.3380712189973565	SetC/145b.jpg	correct
lure	h	0.8748999659947003	l	0.5120682449996821	SetC/047b.jpg	incorrect
targ	j	1.0966038480037241	k	0.4709682979955687	SetD/018a.jpg	incorrect
lure	k	1.4257100699978764	l	0.41098741099995095	SetD/056b.jpg	incorrect
targ	h	2.830261322000297	k	0.7774067499994999	SetC/026a.jpg	correct
targ	k	3.988499191997107	l	0.4541320190037368	SetD/031a.jpg	incorrect
lure	k	2.035701494998648	j	0.9701498639988131	SetD/170b.jpg	incorrect
lure	j	3.5219608819970745	k	1.2727917820011498	SetC/030b.jpg	correct
targ	k	1.8693365180006367	k	1.0265351769994595	SetC/116a.jpg	incorrect
lure	j	3.18273307599884	j	2.58002120799938	SetD/122b.jpg	correct
lure	j	4.841923549996864	k	1.3840636599998106	SetD/096b.jpg	correct
lure	j	3.234880477000843	l	0.9513210469958722	SetC/117b.jpg	correct
lure	j	1.290810529004375	k	0.6492724760028068	SetD/111b.jpg	correct
lure	k	1.7482542500001728	j	0.9368314510065829	SetC/118b.jpg	incorrect
foil	j	2.080040797998663	k	0.541575315000955	SetC/043a.jpg	incorrect
lure	k	2.0144187549958588	l	0.4731492499995511	SetD/106b.jpg	incorrect
foil	k	1.2607104449998587	k	1.3672373129957123	SetC/132a.jpg	correct
foil	j	1.6379852469981415	j	0.8602706370002124	SetD/042a.jpg	incorrect
targ	k	2.823091026999464	k	1.126030500003253	SetC/123a.jpg	incorrect
targ	h	1.2774406530006672	l	1.7134126929959166	SetC/099a.jpg	correct
targ	k	1.5610585629983689	j	1.0110319540035562	SetC/069a.jpg	incorrect
targ	k	1.764798078002059	h	0.9180382870035828	SetC/141a.jpg	incorrect
targ	h	1.1204015690018423	l	0.7233867039976758	SetC/002a.jpg	correct
targ	k	2.421350133998203	l	1.5168046510007116	SetD/161a.jpg	incorrect
